Price,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,Currency,EURO Price,Country,City
3490,Center console boat,Terhi power boats,new boat from stock,2020,4,1.5,Thermoplastic,75,EUR,3490,Germany, BÃ¶nningstedt
3399,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,58,EUR,3399,Germany, Bayern 
3500,Fishing Boat,Terhi power boats,"Used boat,Electric",1987,4.35,1.75,GRP,239,CHF,3535,Switzerland, Seengen
3500,Sport Boat,GS Nautica power boats,Used boat,2004,4.7,2,GRP,69,EUR,3500,Italy, Lake Garda 
4600,Runabout,Kimple power boats,new boat from stock,2020,4.4,1.65,Aluminium,113,CHF,4646,Switzerland, Zugersee 
4500,Fishing Boat,Italmarine power boats,"Used boat,Unleaded",1997,3.72,1.33,Aluminium,413,CHF,4545,Switzerland, VierwaldstÃ¤ttersee 
4000,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",1981,8,2.84,PVC,265,EUR,4000,France," MARTGUES, MARTIGUES"
3999,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,69,EUR,3999,Germany, Bayern 
3930,Sport Boat,Linder power boats,"new boat from stock,Unleaded",2020,4.31,1.64,Aluminium,90,EUR,3930,Germany, Nordrhein-Westfalen 
3900,Sport Boat,Kammin power boats,"Used boat,Unleaded",1979,5.6,2.1,GRP,98,EUR,3900,Germany," BOOTSSERVICE ENK IN TREIS KARDEN, BOOTSSERVICE ENK"
4200,Fishing Boat,Bucher power boats,"Used boat,Unleaded",1998,5.7,1.55,GRP,160,CHF,4242,Switzerland, Diessenhofen
4030,Fishing Boat,Linder power boats,new boat from stock,2018,3.55,1.46,Aluminium,130,CHF,4070.3,Switzerland, VierwaldstÃ¤ttersee 
3975,Fishing Boat,Terhi power boats,new boat from stock,2020,4.01,1.5,Thermoplastic,512,CHF,4014.75,Switzerland, Horgen
3950,Sport Boat,MÃ¤ndli power boats,Used boat,1996,4.84,1.58,GRP,202,CHF,3989.5,Switzerland, Lake of Zurich 
3800,Fishing Boat,Quicksilver (Brunswick Marine) power boats,"Used boat,Unleaded",1996,4.41,1.71,Aluminium,255,CHF,3838,Switzerland, Luganersee 
3800,Cabin Boat,Draco power boats,"Used boat,Unleaded",1980,6.2,2.45,GRP,1804,CHF,3838,Switzerland, Walensee 
3800,Fishing Boat,Hensa  power boats,"Used boat,Unleaded",1974,5.4,1.67,Plastic,849,CHF,3838,Switzerland, Sihlsee 
3500,Center console boat,Ibis power boats,"Used boat,Unleaded",1983,4.4,1.5,GRP,133,EUR,3500,Germany, Verkaufshafen Brandenburg-Plaue
